0,0
0.466711,0
0.728209,0
1.01671,0
1.66598,0
5.45869,0
10.1237,0
20.0777,0
30.3855,0
49.3043,0

2.169e-11,0
0.466709,0.00130451
0.728208,0.00116788
1.01671,0.000983252
1.66598,0.000737523
5.45869,0.000417605
10.1237,0.000305147
20.0777,0.000217866
30.3855,0.000180268
49.3043,0.000124543

2.62448e-09,3.2841e-12
0.466433,0.0143468
0.728094,0.0128461
1.01665,0.0108156
1.66595,0.00811272
5.45869,0.00459366
10.1237,0.00335662
20.0777,0.00239653
30.3855,0.00198295
49.3043,0.00136997

9.56514e-09,2.29887e-11
0.465699,0.027375
0.727793,0.0245209
1.0165,0.0206469
1.6659,0.0154877
5.45868,0.00876971
10.1237,0.00640809
20.0777,0.00457519
30.3855,0.00378564
49.3043,0.0026154

2.08434e-08,7.40411e-11
0.464506,0.0403762
0.727303,0.0361894
1.01625,0.0304762
1.6658,0.0228624
5.45867,0.0129457
10.1237,0.00945956
20.0777,0.00675386
30.3855,0.00558832
49.3043,0.00386083

3.64588e-08,1.71368e-10
0.462855,0.0533376
0.726624,0.0478486
1.0159,0.0403026
1.66567,0.0302366
5.45866,0.0171218
10.1237,0.012511
20.0777,0.00893252
30.3855,0.00739101
49.3043,0.00510626

5.64107e-08,3.29896e-10
0.460746,0.0662462
0.725758,0.0594953
1.01545,0.0501252
1.66551,0.0376102
5.45865,0.0212978
10.1237,0.0155625
20.0777,0.0111112
30.3855,0.00919369
49.3043,0.00635169

8.06984e-08,5.64551e-10
0.45818,0.0790892
0.724703,0.0711266
1.01491,0.059943
1.66531,0.0449829
5.45863,0.0254738
10.1236,0.018614
20.0777,0.0132898
30.3855,0.0109964
49.3043,0.00759713

1.09321e-07,8.90255e-10
0.455158,0.0918535
0.723461,0.0827396
1.01427,0.0697551
1.66507,0.0523546
5.45861,0.0296498
10.1236,0.0216654
20.0777,0.0154685
30.3855,0.0127991
49.3043,0.00884256

1.42277e-07,1.32193e-09
0.451682,0.104526
0.722031,0.094331
1.01354,0.0795606
1.66479,0.0597252
5.45858,0.0338258
10.1236,0.0247169
20.0777,0.0176472
30.3855,0.0146017
49.3043,0.010088

1.79565e-07,1.8745e-09
0.447753,0.117094
0.720415,0.105898
1.01271,0.0893585
1.66448,0.0670946
5.45855,0.0380018
10.1236,0.0277684
20.0777,0.0198258
30.3855,0.0164044
49.3043,0.0113334

2.21184e-07,2.56288e-09
0.443372,0.129543
0.718611,0.117438
1.01178,0.0991479
1.66414,0.0744624
5.45852,0.0421777
10.1236,0.0308198
20.0777,0.0220045
30.3855,0.0182071
49.3043,0.0125788

2.67132e-07,3.40199e-09
0.438541,0.141861
0.716622,0.128947
1.01076,0.108928
1.66376,0.0818287
5.45848,0.0463536
10.1236,0.0338713
20.0777,0.0241832
30.3855,0.0200098
49.3043,0.0138243

3.17407e-07,4.40674e-09
0.433262,0.154034
0.714447,0.140423
1.00964,0.118697
1.66334,0.0891932
5.45844,0.0505295
10.1236,0.0369227
20.0777,0.0263618
30.3855,0.0218125
49.3043,0.0150697

3.72008e-07,5.59204e-09
0.427538,0.166049
0.712087,0.151862
1.00842,0.128456
1.66289,0.0965558
5.4584,0.0547053
10.1236,0.0399742
20.0777,0.0285405
30.3855,0.0236152
49.3043,0.0163151

4.30931e-07,6.9728e-09
0.42137,0.177892
0.709543,0.163262
1.00711,0.138202
1.6624,0.103916
5.45836,0.0588811
10.1236,0.0430256
20.0776,0.0307191
30.3855,0.0254179
49.3043,0.0175606

4.94175e-07,8.56392e-09
0.414763,0.189548
0.706814,0.17462
1.0057,0.147935
1.66187,0.111274
5.45831,0.0630569
10.1236,0.0460771
20.0776,0.0328978
30.3855,0.0272205
49.3043,0.018806

5.61736e-07,1.03803e-08
0.407717,0.201005
0.703903,0.185933
1.0042,0.157654
1.66131,0.11863
5.45826,0.0672327
10.1235,0.0491285
20.0776,0.0350765
30.3855,0.0290232
49.3043,0.0200514

6.33613e-07,1.24368e-08
0.400238,0.212248
0.700809,0.197197
1.0026,0.167357
1.66071,0.125984
5.4582,0.0714084
10.1235,0.0521799
20.0776,0.0372551
30.3855,0.0308259
49.3043,0.0212969

7.09802e-07,1.47484e-08
0.392329,0.223262
0.697533,0.20841
1.0009,0.177045
1.66008,0.133334
5.45814,0.075584
10.1235,0.0552314
20.0776,0.0394338
30.3855,0.0326286
49.3043,0.0225423

7.903e-07,1.73299e-08
0.383993,0.234034
0.694077,0.219569
0.999114,0.186716
1.65941,0.140682
5.45808,0.0797596
10.1235,0.0582828
20.0776,0.0416124
30.3855,0.0344313
49.3043,0.0237877

8.75103e-07,2.01963e-08
0.375234,0.244548
0.690441,0.230672
0.997229,0.19637
1.6587,0.148026
5.45801,0.0839352
10.1235,0.0613342
20.0776,0.0437911
30.3855,0.036234
49.3043,0.0250331

9.64208e-07,2.33622e-08
0.366058,0.25479
0.686626,0.241714
0.995249,0.206004
1.65796,0.155368
5.45794,0.0881107
10.1234,0.0643856
20.0776,0.0459698
30.3855,0.0380366
49.3043,0.0262786

1.05761e-06,2.68428e-08
0.35647,0.264745
0.682633,0.252694
0.993174,0.215619
1.65718,0.162706
5.45787,0.0922861
10.1234,0.067437
20.0776,0.0481484
