y	Densidad
0	0
1	0.0003625
2	0.000360156
3	0.000342188
4	0.000317188
5	0.000325781
6	0.000244531
7	0.000225
8	0.000260156
9	0.000285938
10	0.000294531
11	0.000300781
12	0.000274219
13	0.000253906
14	0.000267188
15	0.000271875
16	0.000285938
17	0.000257031
18	0.000227344
19	0.000216406
20	0.000270313
21	0.000283594
22	0.000320313
23	0.000305469
24	0.000340625
25	0.000364062
26	0.000374219
27	0.000339063
28	0.000388281
29	0.000415625
30	0.000353906
31	0.000361719
32	0.000383594
33	0.000352344
34	0.000457031
35	0.000500781
36	0.000371875
37	0.000314844
38	0.000224219
39	0.000307813
40	0.000407031
41	0.000257031
42	0.000257812
43	0.00035625
44	0.000334375
45	0.000220313
46	0.000190625
47	0.000184375
48	0.000180469
49	0.000207812
50	0.000225
51	0.000248438
52	0.000258594
53	0.00025625
54	0.000257812
55	0.000253125
56	0.000239063
57	0.000282813
58	0.000332031
59	0.000357813
60	0.000326562
61	0.000528125
62	0.0129695
63	0.19144
64	0.809047
65	0.996593
66	0.999531
67	0.999634
68	0.999562
69	0.999577
70	0.999508
71	0.999492
72	0.999473
73	0.999541
74	0.999553
75	0.999577
76	0.999583
77	0.999559
78	0.999548
79	0.999477
80	0.999456
81	0.99946
82	0.999503
83	0.999571
84	0.9996
85	0.999591
86	0.999611
87	0.999649
88	0.999648
89	0.999648
90	0.99958
91	0.999589
92	0.999584
93	0.999572
94	0.999537
95	0.99954
96	0.999566
97	0.999526
98	0.99964
99	0.999655
100	0.999657
101	0.999695
102	0.999641
103	0.999623
104	0.999599
105	0.999517
106	0.999521
107	0.999545
108	0.999412
109	0.999189
110	0.99942
111	0.999552
112	0.999465
113	0.998827
114	0.998762
115	0.999538
116	0.999582
117	0.999613
118	0.999662
119	0.999637
120	0.99962
121	0.999507
122	0.99961
123	0.999534
124	0.999523
125	0.999538
126	0.999462
127	1
