y	Densidad
0	0
1	0.184872
2	0.25949
3	0.291347
4	0.305545
5	0.308724
6	0.309472
7	0.312277
8	0.314849
9	0.313323
10	0.311788
11	0.311195
12	0.313145
13	0.315372
14	0.313835
15	0.312843
16	0.309016
17	0.310676
18	0.316249
19	0.321972
20	0.326397
21	0.322184
22	0.320522
23	0.321486
24	0.320921
25	0.320254
26	0.319108
27	0.317042
28	0.316888
29	0.315452
30	0.314545
31	0.313238
32	0.313685
33	0.316667
34	0.323721
35	0.332141
36	0.342363
37	0.349493
38	0.357599
39	0.366127
40	0.370405
41	0.373378
42	0.372834
43	0.375319
44	0.377848
45	0.382935
46	0.387309
47	0.395588
48	0.40083
49	0.408082
50	0.41778
51	0.423763
52	0.42995
53	0.434838
54	0.441945
55	0.449345
56	0.456663
57	0.461261
58	0.466295
59	0.475196
60	0.482838
61	0.491915
62	0.503473
63	0.510468
64	0.516577
65	0.518404
66	0.524609
67	0.530645
68	0.537059
69	0.542424
70	0.545512
71	0.550609
72	0.556865
73	0.561335
74	0.564514
75	0.564207
76	0.56452
77	0.568392
78	0.57368
79	0.574079
80	0.576133
81	0.577254
82	0.581429
83	0.590428
84	0.598909
85	0.610085
86	0.617587
87	0.624835
88	0.627879
89	0.631195
90	0.639021
91	0.643411
92	0.650593
93	0.656373
94	0.657329
95	0.659787
96	0.661134
97	0.666314
98	0.674517
99	0.6851
100	0.690912
101	0.692285
102	0.693756
103	0.698033
104	0.701209
105	0.705905
106	0.708249
107	0.707755
108	0.703207
109	0.70001
110	0.696841
111	0.695222
112	0.691134
113	0.688184
114	0.687415
115	0.688467
116	0.688468
117	0.685374
118	0.680513
119	0.683749
120	0.688576
121	0.698038
122	0.707322
123	0.717817
124	0.733572
125	0.761883
126	0.827277
127	1
