T	m_dom
0.5	1
0.6	1
0.7	1
0.8	1
0.9	1
1	0.95869
1.1	0.967988
1.2	0.9407
1.3	0.912452
1.4	0.853323
1.5	0.93307
1.6	0.902321
1.7	0.885175
1.8	0.870576
1.9	0.862117
2	0.753926
2.1	0.602491
2.2	0.723108
2.3	0.650522
2.4	0.611461
2.5	0.229625
2.6	0.241826
2.7	0.285798
2.8	0.291225
2.9	0.251971
3	0.130672
3.1	0.149005
3.2	0.0856762
3.3	0.164184
3.4	0.0742227
3.5	0.136048
