y	Densidad
0	0
1	0.0158375
2	0.0190984
3	0.0215492
4	0.023593
5	0.0240875
6	0.0218281
7	0.0219938
8	0.022143
9	0.0231797
10	0.0234711
11	0.0241625
12	0.0236133
13	0.0241547
14	0.0250375
15	0.0267836
16	0.0272031
17	0.0267227
18	0.0253977
19	0.0240633
20	0.0243016
21	0.0255969
22	0.0253688
23	0.0235875
24	0.0216023
25	0.0220883
26	0.0218281
27	0.0212414
28	0.0208117
29	0.0213789
30	0.0224148
31	0.0230391
32	0.0243789
33	0.0266398
34	0.0243414
35	0.0207438
36	0.0196219
37	0.0204227
38	0.0239148
39	0.0262359
40	0.0272648
41	0.0296602
42	0.0298789
43	0.0285242
44	0.0251719
45	0.0227633
46	0.0211562
47	0.0215461
48	0.0219125
49	0.0233133
50	0.0235203
51	0.0249313
52	0.0264242
53	0.0260656
54	0.0256219
55	0.0260883
56	0.029643
57	0.0411047
58	0.0576016
59	0.079082
60	0.117504
61	0.186566
62	0.297496
63	0.437843
64	0.574701
65	0.694355
66	0.777807
67	0.85191
68	0.908467
69	0.942494
70	0.957963
71	0.966112
72	0.973094
73	0.974729
74	0.974412
75	0.973638
76	0.974776
77	0.976603
78	0.978136
79	0.978674
80	0.979659
81	0.978944
82	0.979116
83	0.979804
84	0.97997
85	0.978423
86	0.977746
87	0.976974
88	0.976695
89	0.976553
90	0.977212
91	0.977305
92	0.979052
93	0.979027
94	0.978518
95	0.978841
96	0.97916
97	0.979169
98	0.978991
99	0.978675
100	0.978429
101	0.977017
102	0.976491
103	0.976493
104	0.975884
105	0.977099
106	0.976999
107	0.975809
108	0.975963
109	0.978108
110	0.978749
111	0.977524
112	0.974999
113	0.973328
114	0.9759
115	0.977714
116	0.978471
117	0.980214
118	0.980179
119	0.97897
120	0.97921
121	0.97926
122	0.978821
123	0.97799
124	0.977723
125	0.978383
126	0.982406
127	1
