25.25 1974.44 -3576.41 -1601.96 100804 372.479
25.5 1968.83 -3571.35 -1602.53 100804 366.299
25.75 1976.97 -3578.37 -1601.4 100804 375.573
26 2000.08 -3601.28 -1601.2 100804 398.874
26.25 2035.37 -3636.57 -1601.21 100804 434.163
26.5 2064.45 -3665.47 -1601.02 100804 463.429
26.75 2070.93 -3671.93 -1601.01 100804 469.919
27 2062.37 -3663.37 -1601.01 100804 461.361
27.25 2049.41 -3650.22 -1600.81 100804 448.597
27.5 2036.41 -3636.69 -1600.29 100804 436.123
27.75 2027.49 -3627.68 -1600.19 100804 427.304
28 2029.75 -3629.88 -1600.13 100804 429.62
28.25 2047.97 -3648 -1600.03 100804 447.945
28.5 2079.52 -3679.5 -1599.98 100804 479.545
28.75 2107.64 -3707.55 -1599.91 100804 507.73
29 2111.52 -3711.33 -1599.81 100804 511.714
29.25 2092.68 -3692.42 -1599.74 100804 492.942
29.5 2064.52 -3664.26 -1599.74 100804 464.785
29.75 2038.72 -3638.41 -1599.69 100804 439.033
30 2024.27 -3623.97 -1599.7 100804 424.576
30.25 2026.99 -3626.58 -1599.59 100804 427.406
30.5 2049.07 -3647.97 -1598.9 100804 450.173
30.75 2085.36 -3684.18 -1598.81 100804 486.548
31 2122.5 -3720.83 -1598.32 100804 524.179
31.25 2134.9 -3732.66 -1597.76 100804 537.135
31.5 2110.95 -3708.62 -1597.67 100804 513.284
31.75 2069.34 -3666.12 -1596.78 100804 472.566
32 2030.13 -3626.85 -1596.72 100804 433.406
32.25 2004.68 -3601.38 -1596.7 100804 407.976
32.5 1996.37 -3593.01 -1596.64 100804 399.722
32.75 2005.78 -3602.36 -1596.57 100804 409.211
33 2030.12 -3626.64 -1596.52 100804 433.603
33.25 2059.3 -3655.5 -1596.2 100804 463.097
33.5 2074.56 -3670.68 -1596.12 100804 478.435
33.75 2069.83 -3665.95 -1596.11 100804 473.723
34 2057.54 -3652.45 -1594.91 100804 462.629
34.25 2037.64 -3632.54 -1594.9 100804 442.748
34.5 2018.3 -3612.88 -1594.59 100804 423.711
34.75 2011.11 -3605.62 -1594.51 100804 416.597
35 2018.83 -3613.15 -1594.32 100804 424.509
35.25 2041.06 -3635 -1593.93 100804 447.135
35.5 2072.92 -3666.62 -1593.7 100804 479.227
35.75 2101.63 -3695.16 -1593.53 100804 508.097
36 2109.68 -3703 -1593.32 100804 516.367
36.25 2095.83 -3689.11 -1593.28 100804 502.554
36.5 2078.65 -3669.83 -1591.18 100804 487.468
36.75 2066.31 -3656.3 -1589.99 100804 476.313
37 2057.77 -3647.5 -1589.74 100804 468.03
37.25 2058.05 -3647.45 -1589.4 100804 468.654
37.5 2074.8 -3663.65 -1588.85 100804 485.957
37.75 2103.87 -3691.89 -1588.03 100804 515.841
38 2127.18 -3714.63 -1587.44 100804 539.741
38.25 2125.34 -3712.01 -1586.67 100804 538.677
38.5 2100.63 -3686.83 -1586.2 100804 514.423
38.75 2073.66 -3659.7 -1586.04 100804 487.628
39 2058.63 -3644.45 -1585.82 100804 472.809
39.25 2058.78 -3644.51 -1585.73 100804 473.053
39.5 2072.84 -3658.29 -1585.45 100804 487.385
39.75 2096.39 -3681.74 -1585.36 100804 511.03
40 2121.21 -3706.33 -1585.12 100804 536.099
40.25 2132.76 -3717.31 -1584.55 100804 548.205
40.5 2116.16 -3700.57 -1584.41 100804 531.75
40.75 2079.74 -3663.46 -1583.73 100804 496.009
41 2044.6 -3628.23 -1583.63 100804 460.978
41.25 2025.23 -3608.79 -1583.55 100804 441.681
41.5 2024.19 -3607.56 -1583.36 100804 440.829
41.75 2036.04 -3619.23 -1583.19 100804 452.848
42 2050.64 -3633.75 -1583.11 100804 467.527
42.25 2062.28 -3644.9 -1582.62 100804 479.668
42.5 2071.97 -3654.49 -1582.52 100804 489.454
42.75 2075.53 -3661.1 -1585.58 100804 489.953
43 2075.43 -3660.88 -1585.44 100804 489.993
43.25 2077.47 -3661.64 -1584.17 100804 493.296
43.5 2088.6 -3671.13 -1582.53 100804 506.071
43.75 2098.47 -3680.8 -1582.33 100804 516.133
44 2095.37 -3677.07 -1581.7 100804 513.668
44.25 2083 -3664.12 -1581.12 100804 501.88
44.5 2073.92 -3655.06 -1581.14 100804 492.778
44.75 2076.79 -3656.8 -1580.02 100804 496.772
45 2083.89 -3663.62 -1579.73 100804 504.152
45.25 2083.76 -3663.14 -1579.38 100804 504.378
45.5 2076.35 -3654.02 -1577.67 100804 498.675
45.75 2067.37 -3642.61 -1575.23 100804 492.141
46 2053.19 -3628.03 -1574.84 100804 478.346
46.25 2036.9 -3610.76 -1573.86 100804 463.043
46.5 2028.98 -3600.22 -1571.24 100804 457.742
46.75 2036.07 -3606.67 -1570.6 100804 465.471
47 2062 -3631.27 -1569.26 100804 492.736
47.25 2090.8 -3659.52 -1568.72 100804 522.078
47.5 2102.87 -3671.56 -1568.68 100804 534.186
47.75 2094.9 -3663.12 -1568.22 100804 526.674
48 2073.46 -3640.94 -1567.48 100804 505.979
48.25 2047.25 -3614.41 -1567.16 100804 480.085
48.5 2028.15 -3595.06 -1566.9 100804 461.25
48.75 2024.77 -3591.34 -1566.56 100804 458.21
49 2039.74 -3605.92 -1566.18 100804 473.57
49.25 2070.69 -3636.72 -1566.03 100804 504.667
49.5 2108.95 -3674.63 -1565.68 100804 543.275
49.75 2134.08 -3700.05 -1565.97 100804 568.102
50 2132.62 -3696.47 -1563.85 100804 568.769
50.25 2109.53 -3672.3 -1562.77 100804 546.765
50.5 2084.17 -3646.12 -1561.95 100804 522.22
50.75 2062.82 -3624.21 -1561.4 100804 501.417
51 2050.85 -3611.65 -1560.8 100804 490.044
51.25 2056.26 -3616.98 -1560.72 100804 495.544
51.5 2078.88 -3639.45 -1560.57 100804 518.315
51.75 2106.54 -3666.69 -1560.15 100804 546.381
52 2117.92 -3677.87 -1559.95 100804 557.961
52.25 2104.37 -3661.2 -1556.83 100804 547.531
52.5 2074.19 -3630.97 -1556.79 100804 517.401
52.75 2052.08 -3608.83 -1556.75 100804 495.33
53 2047.29 -3603.97 -1556.68 100804 490.603
53.25 2059.86 -3616.55 -1556.69 100804 503.17
53.5 2086.3 -3642.98 -1556.69 100804 529.61
53.75 2118.72 -3675.38 -1556.67 100804 562.055
