-1532.14 -188.64
-448.698 -3701.81
-2161.23 1253.07
-2673.06 -1266.92
-4911.74 1541.13
-1546.49 -2724.99
199.306 2145.13
-146.889 -40.4458
-4354.35 694.25
-404.373 966.091
-2312.52 -1573.65
-1016.61 3846.09
89.7548 -3564.44
-1166.56 3304.64
-394.18 3309.22
2412.78 -3232.49
4.9479 3675.93
-471.973 4102.82
47.7472 33.9526
-429.943 2166.34
1157.77 -3511.59
-2549.66 -722.551
45.4 175.891
3371.54 -3944.77
-2636.94 274.032
199.11 2488.79
522.139 -272.702
-1753.13 -4897.04
-704.925 -1996.4
1222.26 935.74
714.549 -2514.24
-345.269 1512.09
-742.035 1883.98
-242.971 1175.35
300.782 -1957.2
344.79 4165.05
-168.117 271.236
-1178.99 2819.06
-552.958 -1848.75
1289.69 -122.133
-2106.64 405.604
38.5137 -1942.75
3233.76 3288.4
-1718.25 2587.34
-227.614 -844.159
-1192.18 79.327
-2683.25 -678.805
3065.13 2468.9
-3401.8 803.492
-464.422 -1373.81
4343.71 2916.63
-2528.21 789.398
-626.472 1443.01
1669.9 -1326.04
3990.34 1252.26
-453.524 5020.06
330.877 -1841.12
-483.183 -41.579
380.999 647.89
-4277.73 2024.84
-2838.76 1790.12
3636.82 -2579.34
1581.63 3953.56
-4096.57 -2353.6
-1139.91 1294.12
-898.234 2292.06
-286.978 -414.089
-131.988 -1386.83
1910.82 -2117.2
28.6423 -1476.53
-2734.97 2618.48
304.597 1278.52
1225.1 70.0609
2201.31 -1735.95
948.35 3696.19
-2560.37 -4391.99
16.0862 -2468.56
3959.84 112.916
-2819.13 -619.738
890.22 -2532.08
-4738.55 -319.683
-16.199 -3702.75
2103.49 -382.481
-1571.09 78.1788
1149.98 3920.12
1784.95 2710.42
-3036.52 -2662.83
-1835.46 2376.27
439.663 -358.06
-2076.82 1736.15
-631.883 3486.58
1079.21 -208.248
-3325.67 3808.43
-2187.69 -3085.72
-1679.28 987.202
1212.42 152.119
616.507 -3963.58
-104.299 179.994
-1544.66 726.71
682.328 -308.12
-3359.66 -2231.06
1209.37 -4577.62
-294.648 -4102.52
-3141.31 1135.68
1700.93 -4876.64
2757.74 427.869
187.698 -1232.81
963.641 -2785.23
925.666 826.773
68.7795 4237.98
4011.68 26.7509
3999.1 -3409.4
-587.425 -882.163
-733.544 3998.72
100.713 5232.37
316.924 -3300.31
1499.94 -84.087
-3664.55 -916.607
218.174 -2522.45
-3335.65 -1232.1
-1453.93 3965.02
-701.264 2652.58
-160.606 17.9601
80.5847 1475.79
888.843 5064.66
1335.22 -2101.89
3951.03 3450.73
647.321 -1386.58
-495.062 1992.64
3044.59 -946.895
-17.7921 -350.805
-18.9773 2797.91
-619.808 4610.12
-4538.12 -1191.39
-925.42 -27.2194
3656.27 -793.889
5051.19 -1663.04
207.481 1555.06
-518.742 -415.77
1147.23 3614.21
-207.177 4572.39
285.663 -1674.53
-213.484 -286.142
-1535.72 -255.27
-1455.91 -3758.02
-1844.5 1533.73
-3937.65 3398.82
-1539.78 -2951.69
122.702 -488.716
-4480.18 85.1515
-1774.75 2326.84
-2688.05 -4552.3
-639.015 -3638.15
3529.56 151.936
59.6212 -946.417
292.477 984.797
399.208 836.276
170.951 -532.031
1046.09 -928.909
-27.4172 -164.787
-560.003 5244.98
-60.4087 1181.91
1128.42 -386.21
-3626.58 -2863.42
43.7687 -265.967
4691.29 -1210.31
650.449 650.544
797.508 4239.91
-698.064 110.071
-1263.36 29.4125
-4424.6 413.493
-1327.95 -3997.87
1901.94 -1132.78
742.129 -3958.49
255.883 -541.539
-165.473 -1170.09
2205.98 -1790.74
-52.681 -159.206
747.83 -1541.55
2514.73 832.236
1568.16 -1429.42
-1446.5 -2632.57
4614.49 2499.56
950.216 -1687.46
1674.19 -728.525
316.58 425.825
-1928.7 -3844.98
-1121.72 -3266.56
3759.46 273.025
-1313.71 -24.6497
1165.26 -909.084
-4022.31 1218.32
-56.2566 21.6024
201.346 -717.006
182.374 192.658
794.008 4037.45
1234.35 184.84
-1528.63 -2681.83
-2301.03 2412.26
-2036.93 -1679.89
1608.56 -1523.15
-594.062 -1007.08
-1840.4 -3163.42
373.97 -1233.66
1713.32 -2829.54
-3921.06 -3072.83
1061.92 -1879.76
-2414.87 1613.72
2022 351.796
-1253.8 -136.278
2797.17 -1392.76
2876.66 3370.96
1222.75 -2576.69
3372.89 1198.05
-1539.28 -2824.37
-2807.08 -2148.01
5008.47 80.4694
-1282.98 -350.297
1031.97 -560.276
1760.72 2401.83
-325.982 -2702.42
-1700.3 -673.889
3755.11 2381.77
255.125 -5296.13
-3157.95 3985.89
3986.13 398.759
811.666 -238.564
691.167 1958.23
-145.529 93.8286
3586.89 -877.367
-4564.36 957.416
1720.6 -4956.44
-843.196 -959.377
-1126.75 -1190.05
-1987.75 -1131.19
-582.369 1045.21
-3269.65 397.801
83.4652 -94.5966
3848.97 -3345.62
-3896.43 -1994
-4211.04 1414.78
-2809.56 1279.53
-2423.31 -4013.24
1446.9 -336.538
-1725.87 1493.08
-3962.76 -2984.77
513.237 2390.99
628.25 4927.79
1278.38 2983.67
3676.63 101.49
2002.08 -3356.78
-1119.99 709.984
-702.233 2899.23
-2531.16 -980.886
486.008 -58.599
1131.09 -715.143
-2566.1 2980.94
-1030.24 3644.66
2346.8 -1741.47
-1254.21 -739.728
-1199.29 2778.58
-1583.07 -577.519
2017.67 1677.61
-1345.79 -1175.54
-249.256 -715.516
1643 -654.092
-311.514 -606.989
-543.151 499.599
1786.98 -913.054
1560.1 3958.63
25.2465 -1247.74
2452.71 1007.37
-897.247 -283.923
536.533 -523.808
3501.36 219.642
-449.674 764.286
-2939.26 885.642
-1640.76 -940.331
2163.71 -664.413
-22.6581 -2099.25
4956.59 -807.875
-4230.93 912.052
-857.692 -961.974
405.353 -4090.43
-4289.63 2360.04
-3605.33 -1909.8
1750.73 2368.67
-92.5415 0.732749
3900.11 -2308.32
-1063.06 3120.12
129.374 3061.91
1446.62 498.915
-74.1778 314.536
1893.79 680.702
3004.63 -533.055
-400.64 -4123.86
-346.238 1687.52
-414.626 1643.84
3081.28 3607.39
22.3304 -2264.29
-1626.93 3361.13
-4077.03 -3010.73
-2069.61 -2926.85
167.775 25.1616
-670.612 -429.47
-2409.14 2728.2
-1784.83 -3860.33
372.326 -18.532
3205.83 -3001.86
-810.258 2558.41
2569.95 -67.0645
3525.69 -1254.01
-3909.4 -3416.87
-1888.11 -2170.16
141.294 -838.928
-3802.88 1088.94
-2.71467 381.369
-1339.81 3314.28
2026.52 2235.07
-2168.67 -2332.43
1593.7 1275.61
893.965 -2437.29
191.097 -1028.35
-1145.49 2704.95
-4827.2 1094.76
1382.52 4597.66
-125.516 1295.09
1271.47 -576.811
-1446.86 60.2258
743.096 448.236
-1813.59 433.574
2665.99 -977.657
2385.5 2598.43
-953.81 -1959.58
-3305.93 -2571.97
-5016.08 -138.049
-177.902 -2968.57
2252.99 -76.8687
-169.506 3172.46
-4092.82 2508.68
150.067 -4472.59
-967.804 4616.33
3664.47 -1430.96
-1097.84 1654.64
1187.24 1207.69
3520.68 1565.72
-1321.44 -1234.82
1134.43 263.291
-112.366 -117.595
-1739.82 -295.737
-2513.26 2880.13
50.3552 3043.42
1957.61 -219.137
-919.574 1298.88
-2606.4 -4020.21
-453.297 435.811
-1089.24 -4270.31
1349.15 -736.333
3649.3 -1422.02
-221.109 2371.9
2997.58 -406.285
-2282.8 -660.241
2692.9 -1767.04
1189.6 3559.1
673.348 463.856
1075.78 3673.57
1879.17 348.471
-1200.83 3036.11
4647.24 1240.95
-4363.47 483.861
1413.74 411.898
-475.007 44.74
678.315 399.733
220.596 -979.285
2763.91 -1306.84
-2035.93 -2607.2
275.529 -6.07303
-786.505 -604.805
-1288.21 -41.9558
-588.803 1129.14
-2196.06 -1493.12
-1781.69 -3496.75
1088.14 -2569.81
1168.05 -47.4704
-550.679 -227.7
229.233 476.97
285.357 1516.1
-2171.65 1621.44
-158.75 -173.634
2116.22 -2476.95
-2178.66 2800.91
3465.49 2147.85
-1479.12 -1171.43
60.0118 -130.29
2230.9 -1224.11
4565.85 286.095
-1228.03 4566.11
1351.94 -4669.79
1384.07 -2555.22
-3326.46 1419.73
631.325 445.027
679.708 -824.805
1324.36 4746.71
419.226 2490.69
-28.978 -84.2604
-588.222 -197.355
-1931.51 809.703
-2718.9 3872.22
3187.56 -2720.27
-1576.18 -651.368
-1204.87 -3575.53
1881.28 -1549.53
609.533 -1444.15
-769.928 3822.77
-1249.01 5118.82
-742.505 573.968
382.378 -1900.77
-2218.15 -3891.72
-628.086 199.125
104.823 -1209.51
-3988.12 809.423
1891.01 -1047.78
1307.65 4609.98
2963.38 -1296.23
2521.87 -1341.59
735.104 464.086
-1692.33 591.549
-1086.12 4902.88
-3872.43 2846.8
-2936.22 -2712.28
-637.5 603.913
256.667 -1421.72
-643.576 -1279.67
-77.2912 428.963
335.376 -862.978
2858.39 -672.553
-462.54 1692.72
489.022 4673
406.7 453.451
3053.66 -2852.57
1191.07 277.187
-226.848 702.237
-4740.56 -1897.53
-3549.6 -3913.53
1511.24 -4885.97
